0|Ability1||DefaultOwner|Ability1|Walla Balla BING BANG
1|Ability2||DefaultOwner|Ability2|Walla Balla BING BANG
2|Ability3||DefaultOwner|Ability3|Walla Balla BING BANG
3|Ability4||DefaultOwner|Ability4|Walla Balla BING BANG
4|Ability5||DefaultOwner|Ability5|Walla Balla BING BANG
5|1|Passive|DefaultOwner|Walla Balla BING BANG|1
6|2|Q|DefaultOwner|Walla Balla BING BANG|2
7|3|W|DefaultOwner|Walla Balla BING BANG|3
8|4|E|DefaultOwner|Walla Balla BING BANG|4
9|5|Ultimate|DefaultOwner|Walla Balla BING BANG|5
